Charge Point ID,Serial,Site,Make,Lat,Lon
60238,EM3725B-3,Birley Fields Campus,Elektromotive,53.46711,-2.24676
60239,EM3869B-3,Birley Fields Campus,Elektromotive,53.46711,-2.24676
60240,EM3869A-1,Birley Fields Campus,Elektromotive,53.46711,-2.24676
60241,EM3709A-1,Birley Fields Campus,Elektromotive,53.46711,-2.24676
60242,EM3709B-3,Birley Fields Campus,Elektromotive,53.46711,-2.24676
60243,EM3706A-1,Birley Fields Campus,Elektromotive,53.46711,-2.24676
60244,EM3706B-3,Birley Fields Campus,Elektromotive,53.46711,-2.24676
60245,EM3731A-1,Birley Fields Campus,Elektromotive,53.46711,-2.24676
60246,EM3731B-3,Birley Fields Campus,Elektromotive,53.46711,-2.24676
60247,EM3715A-1,Birley Fields Campus,Elektromotive,53.46711,-2.24676
60248,EM3715B-3,Birley Fields Campus,Elektromotive,53.46711,-2.24676
60249,EM4052B-3,Trinity Bridge House,Elektromotive,53.58987,-2.29452
60250,EM4052A-1,Trinity Bridge House,Elektromotive,53.58987,-2.29452
60251,EM4051A-1,Prince Street,Elektromotive,53.64738,-2.31737
60252,EM4051B-3,Prince Street,Elektromotive,53.64738,-2.31737
60253,3688A,Shudehill Interchange Bus Station (TfGM access only),Elektromotive,53.483432,-2.237251
60254,3688B,Shudehill Interchange Bus Station (TfGM access only),Elektromotive,53.483532,-2.237251
60255,EM4053A-1,Great Northern Car Park,Elektromotive,53.47667,-2.24902
60256,EM4053B-3,Great Northern Car Park,Elektromotive,53.47667,-2.24902
60257,EM4073A-1,Great Northern Car Park,Elektromotive,53.47663,-2.24903
60258,EM4073B-3,Great Northern Car Park,Elektromotive,53.47667,-2.24902
60259,EM4014A-1,The Grand Car Park,Elektromotive,53.48005,-2.23435
60260,EM4014B-3,The Grand Car Park,Elektromotive,53.48005,-2.23435
60261,EM4054A-1,The Grand Car Park,Elektromotive,53.48005,-2.23435
60262,EM4054B-3,The Grand Car Park,Elektromotive,53.48005,-2.23435
60268,EM3738A-1,Elliot Street Car Park,Elektromotive,53.53846,-2.07153
60269,EM3738B-3,Elliot Street Car Park,Elektromotive,53.53846,-2.07153
60272,3867A,Wigan Council Depot,Elektromotive,53.54544,-2.637474
60273,3867B,Wigan Council Depot,Elektromotive,53.54544,-2.637574
60274,EM4072A-1,Dukinfield Town Hall,Elektromotive,53.46942,-2.08962
